14 июл. 2026 10:44:52,807 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@73c2a19
14 июл. 2026 10:47:54,055 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 861, SID: _EDITFORMNEWSESSION_Main_Product(p)]
14 июл. 2026 10:47:55,983 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[228021733 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:47:56,578 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 944, SID: formOk()]
14 июл. 2026 10:47:56,600 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[1677845233 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
14 июл. 2026 10:47:56,601 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 944, SID: formOk()]
14 июл. 2026 10:47:56,601 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1677845233 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:48:00,647 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 760, SID: formClose()]
14 июл. 2026 10:48:00,647 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM HIDE : FORM[1336206521 - Main.products,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
14 июл. 2026 10:48:00,647 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction ended: [ID: 760, SID: formClose()]
14 июл. 2026 10:48:00,647 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM DELAYED DESTROY : RF[FORM[1336206521 - Main.products,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:48:00,984 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[228021733 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:48:00,984 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[228021733 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
14 июл. 2026 10:48:01,619 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1677845233 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:48:05,657 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT DEACTIVATE RF[FORM[1336206521 - Main.products,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:48:06,621 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1677845233 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:48:06,621 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[1677845233 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
14 июл. 2026 10:48:10,658 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - REMOTE OBJECT CLOSE RF[FORM[1336206521 - Main.products,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]]
14 июл. 2026 10:48:10,658 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM CLOSE : FORM[1336206521 - Main.products,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1637627355,SQL@434683741]]
14 июл. 2026 10:48:46,614 system - system - system  INFO RemoteLogger - NAVIGATOR OPEN : lsfusion.server.logics.navigator.controller.remote.RemoteNavigator@72a56eb8
14 июл. 2026 10:49:23,272 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[1539171418 - Main.products,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1923444408,SQL@1840817101]]
14 июл. 2026 10:49:25,281 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - executeEventAction started: [ID: 787, SID: _EDITFORMNEWSESSION_Main_Product(p)]
14 июл. 2026 10:49:25,291 admin - 127.0.0.1 - 127.0.0.1  INFO RemoteLogger - FORM OPEN : FORM[312710612 - Main.product,RN[clientAddress: 127.0.0.1,285 - Authentication.CustomUser 'Обычный пользователь',1923444408,SQL@1840817101]]
