14 июл. 2026 10:47:40,267 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@56691658
14 июл. 2026 10:47:40,274 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@56691658
14 июл. 2026 10:48:22,048 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1585565507
14 июл. 2026 10:48:24,225 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1396292525
14 июл. 2026 10:48:24,225 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1585565507
14 июл. 2026 10:48:26,422 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@403388441
14 июл. 2026 10:48:27,666 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1810326901
14 июл. 2026 10:48:27,666 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1159522391
14 июл. 2026 10:48:28,205 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@266499846
14 июл. 2026 10:48:28,363 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1458069320
14 июл. 2026 10:48:28,498 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@878948715
14 июл. 2026 10:48:28,498 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@524250728
14 июл. 2026 10:48:28,498 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@19711908
14 июл. 2026 10:48:28,498 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1784293834
14 июл. 2026 10:48:38,239 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1663633881
14 июл. 2026 10:48:38,239 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2014424761
14 июл. 2026 10:48:38,239 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@2086511334
14 июл. 2026 10:48:39,954 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@878948715
14 июл. 2026 10:48:39,954 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1159522391
14 июл. 2026 10:48:39,954 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1810326901
14 июл. 2026 10:48:39,954 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@524250728
14 июл. 2026 10:48:39,954 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1458069320
14 июл. 2026 10:48:39,954 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1784293834
14 июл. 2026 10:48:39,954 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@19711908
14 июл. 2026 10:48:39,954 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@266499846
14 июл. 2026 10:48:40,058 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@71063007
14 июл. 2026 10:48:40,075 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1640095412
14 июл. 2026 10:48:40,678 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1520948100
14 июл. 2026 10:48:40,717 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1520948100
14 июл. 2026 10:48:40,717 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1640095412
14 июл. 2026 10:48:40,717 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@71063007
14 июл. 2026 10:48:40,764 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1396292525
14 июл. 2026 10:48:43,239 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@899329580
14 июл. 2026 10:48:45,617 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@760472432
14 июл. 2026 10:48:45,625 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@984115966
14 июл. 2026 10:48:46,222 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@984115966
14 июл. 2026 10:48:46,444 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1840817101
14 июл. 2026 10:48:46,630 system - system - system  INFO ExInfoLogger - SQL SESSION OPEN SQL@1592324970
14 июл. 2026 10:48:47,092 system - system - system  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1592324970
14 июл. 2026 10:48:52,056 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@1866889020
14 июл. 2026 10:48:52,229 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1866889020
14 июл. 2026 10:49:23,345 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@558533729
14 июл. 2026 10:49:28,491 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION OPEN SQL@1184121176
14 июл. 2026 10:49:28,507 admin - 127.0.0.1 - 127.0.0.1  INFO ExInfoLogger - SQL SESSION CLOSE SQL@1184121176
