14 июл. 2026 10:47:27,471  INFO PausableInvocationsLogger - Invocation [f: Main.products, m: gainedFocus, rq: 4] finished
14 июл. 2026 10:47:27,472  INFO PausableInvocationsLogger - Releasing request lock for [f: Main.products, m: gainedFocus, rq: 4] for request #4
14 июл. 2026 10:47:28,588  INFO PausableInvocationsLogger - Acquiring request lock for [f: Main.products, m: changePageSize, rq: 5] for request #5
14 июл. 2026 10:47:28,588  INFO PausableInvocationsLogger - Acquired request lock for [f: Main.products, m: changePageSize, rq: 5] for request #5
14 июл. 2026 10:47:28,588  INFO PausableInvocationsLogger - Run invocation: [f: Main.products, m: changePageSize, rq: 5]
14 июл. 2026 10:47:28,590  INFO PausableInvocationsLogger - Invocation [f: Main.products, m: changePageSize, rq: 5] finished
14 июл. 2026 10:47:28,590  INFO PausableInvocationsLogger - Releasing request lock for [f: Main.products, m: changePageSize, rq: 5] for request #5
14 июл. 2026 10:47:31,312  INFO PausableInvocationsLogger - Acquiring request lock for [f: Main.products, m: executeEventAction, rq: 6] for request #6
14 июл. 2026 10:47:31,313  INFO PausableInvocationsLogger - Acquired request lock for [f: Main.products, m: executeEventAction, rq: 6] for request #6
14 июл. 2026 10:47:31,313  INFO PausableInvocationsLogger - Run invocation: [f: Main.products, m: executeEventAction, rq: 6]
14 июл. 2026 10:47:31,333  INFO PausableInvocationsLogger - Interaction [f: Main.products, m: executeEventAction, rq: 6] called pauseForUserInteraction: FormClientAction[showFormType: DOCKED_MODAL]
14 июл. 2026 10:47:31,403  INFO PausableInvocationsLogger - Acquiring request lock for [f: Main.product, m: gainedFocus, rq: 0] for request #0
14 июл. 2026 10:47:31,403  INFO PausableInvocationsLogger - Acquired request lock for [f: Main.product, m: gainedFocus, rq: 0] for request #0
14 июл. 2026 10:47:31,404  INFO PausableInvocationsLogger - Run invocation: [f: Main.product, m: gainedFocus, rq: 0]
14 июл. 2026 10:47:31,404  INFO PausableInvocationsLogger - Invocation [f: Main.product, m: gainedFocus, rq: 0] finished
14 июл. 2026 10:47:31,405  INFO PausableInvocationsLogger - Releasing request lock for [f: Main.product, m: gainedFocus, rq: 0] for request #0
14 июл. 2026 10:47:41,674  INFO PausableInvocationsLogger - Acquiring request lock for [f: Main.product, m: executeEventAction, rq: 1] for request #1
14 июл. 2026 10:47:41,674  INFO PausableInvocationsLogger - Acquired request lock for [f: Main.product, m: executeEventAction, rq: 1] for request #1
14 июл. 2026 10:47:41,674  INFO PausableInvocationsLogger - Run invocation: [f: Main.product, m: executeEventAction, rq: 1]
14 июл. 2026 10:47:41,682  INFO PausableInvocationsLogger - Invocation [f: Main.product, m: executeEventAction, rq: 1] finished
14 июл. 2026 10:47:41,683  INFO PausableInvocationsLogger - Releasing request lock for [f: Main.product, m: executeEventAction, rq: 1] for request #1
14 июл. 2026 10:47:43,769  INFO PausableInvocationsLogger - Acquiring request lock for [f: Main.product, m: executeEventAction, rq: 2] for request #2
14 июл. 2026 10:47:43,769  INFO PausableInvocationsLogger - Acquired request lock for [f: Main.product, m: executeEventAction, rq: 2] for request #2
14 июл. 2026 10:47:43,769  INFO PausableInvocationsLogger - Run invocation: [f: Main.product, m: executeEventAction, rq: 2]
14 июл. 2026 10:47:43,773  INFO PausableInvocationsLogger - Invocation [f: Main.product, m: executeEventAction, rq: 2] finished
14 июл. 2026 10:47:43,773  INFO PausableInvocationsLogger - Releasing request lock for [f: Main.product, m: executeEventAction, rq: 2] for request #2
14 июл. 2026 10:47:43,774  INFO PausableInvocationsLogger - Acquiring request lock for [f: Main.product, m: executeEventAction, rq: 3] for request #3
14 июл. 2026 10:47:43,774  INFO PausableInvocationsLogger - Acquired request lock for [f: Main.product, m: executeEventAction, rq: 3] for request #3
14 июл. 2026 10:47:43,775  INFO PausableInvocationsLogger - Run invocation: [f: Main.product, m: executeEventAction, rq: 3]
14 июл. 2026 10:47:43,804  INFO PausableInvocationsLogger - Interaction [f: Main.product, m: executeEventAction, rq: 3] called delayUserInteraction: MessageClientAction[caption: lsFusion, msg: Изменения были удачно записаны..., type: LOG]
14 июл. 2026 10:47:43,804  INFO PausableInvocationsLogger - Interaction [f: Main.product, m: executeEventAction, rq: 3] called delayUserInteraction: lsfusion.interop.action.HideFormClientAction@1039a22
14 июл. 2026 10:47:43,804  INFO PausableInvocationsLogger - Interaction [f: Main.product, m: executeEventAction, rq: 3] called delayUserInteraction: lsfusion.interop.action.DestroyFormClientAction@68f67afe
14 июл. 2026 10:47:43,805  INFO PausableInvocationsLogger - Invocation [f: Main.product, m: executeEventAction, rq: 3] finished
